09/17/2017, 15/26/49, BTC ,32 ,0.16, 3622.48 LTC ,6 ,0.26, 49.179 ETH ,29 ,0.1, 253.816 
09/17/2017, 15/27/19, BTC ,45 ,0.06, 3622.48 LTC ,5 ,0.24, 49.179 ETH ,21 ,0.13, 253.816 
09/17/2017, 15/27/51, BTC ,36 ,0.11, 3622.48 LTC ,2 ,0.08, 49.179 ETH ,10 ,0.24, 253.816 
09/17/2017, 15/28/21, BTC ,42 ,0.01, 3622.48 LTC ,4 ,-0.06, 49.179 ETH ,19 ,0.03, 253.816 
09/17/2017, 15/28/52, BTC ,31 ,0.05, 3622.48 LTC ,3 ,0.21, 49.179 ETH ,9 ,0.23, 253.816 
09/17/2017, 15/29/22, BTC ,43 ,0.0, 3622.48 LTC ,1 ,0.0, 49.1219 ETH ,11 ,0.2, 253.816 
09/17/2017, 15/29/52, BTC ,37 ,-0.03, 3622.48 LTC ,1 ,0.0, 49.1219 ETH ,13 ,0.0, 253.816 
09/17/2017, 15/30/23, BTC ,82 ,0.1, 3622.48 LTC ,9 ,0.04, 49.1219 ETH ,36 ,0.08, 253.816 
09/17/2017, 15/30/54, BTC ,36 ,0.09, 3622.48 LTC ,3 ,0.15, 49.1219 ETH ,17 ,-0.05, 253.816 
09/17/2017, 15/31/25, BTC ,58 ,0.14, 3620.75 LTC ,7 ,0.2, 49.1219 ETH ,11 ,0.16, 253.441 
09/17/2017, 15/31/56, BTC ,41 ,0.24, 3620.75 LTC ,13 ,0.37, 49.1219 ETH ,14 ,0.37, 253.441 
09/17/2017, 15/32/26, BTC ,42 ,0.11, 3620.75 LTC ,5 ,0.24, 49.1219 ETH ,25 ,0.26, 253.441 
09/17/2017, 15/32/56, BTC ,32 ,0.07, 3620.75 LTC ,7 ,0.22, 49.1219 ETH ,12 ,0.38, 253.441 
09/17/2017, 15/33/27, BTC ,51 ,0.09, 3620.75 LTC ,8 ,0.12, 49.1219 ETH ,17 ,0.11, 253.441 
09/17/2017, 15/33/58, BTC ,28 ,0.03, 3620.75 LTC ,5 ,0.04, 49.1219 ETH ,10 ,0.22, 253.441 
09/17/2017, 15/34/28, BTC ,39 ,0.15, 3620.75 LTC ,3 ,-0.04, 49.1219 ETH ,19 ,0.24, 253.441 
09/17/2017, 15/34/59, BTC ,40 ,0.05, 3620.75 LTC ,2 ,0.0, 49.1219 ETH ,13 ,0.16, 253.441 
09/17/2017, 15/35/31, BTC ,43 ,0.08, 3620.25 LTC ,3 ,0.19, 49.0881 ETH ,14 ,0.17, 253.35 
09/17/2017, 15/36/03, BTC ,16 ,0.07, 3620.25 LTC ,0 ,N/A, 49.0881 ETH ,6 ,0.23, 253.35 
